,,,ntsc_0.9,,,ntsc_1.0,,,ntsc_1.1,,,pal_1.0,,,ntsc_1.2,,,pal_1.1,,,jp_gc,,,jp_mq,,,usa_gc,,,usa_mq,,,pal_gc,,,pal_gc_dbg1,,,pal_gc_dbg2,,,pal_mq,,,pal_mq_dbg,,,jp_gc_ce,,,ique_cn,,,ique_tw,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_map_exp.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,063940,800807A0,1E40,063940,800807A0,1E40,05A910,8006B810,1BA0,63940,800807A0,1E40,,,,,,,,,,
z_parameter.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,065780,800825E0,BF00,065780,800825E0,BF00,,,,65780,800825E0,BF00,,,,,,,,,,
z_path.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067BA0,80078AA0,1D0,071680,8008E4E0,1C0,071680,8008E4E0,1C0,067BA0,80078AA0,1D0,71680,8008E4E0,1C0,,,,,,,,,,
code_8008E6A0.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067D70,80078C70,B0,071840,8008E6A0,B0,071840,8008E6A0,B0,067D70,80078C70,B0,71840,8008E6A0,B0,,,,,,,,,,
z_player_lib.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067E20,80078D20,,0718F0,8008E750,3BD0,0718F0,8008E750,3BD0,067E20,80078D20,,718F0,8008E750,3BD0,,,,,,,,,,
z_prenmi.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06B890,8007C790,1A0,0754C0,80092320,1E0,0754C0,80092320,1E0,06B890,8007C790,1A0,754C0,80092320,1E0,,,,,,,,,,
z_quake.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06BA30,8007C930,E70,0756A0,80092500,E70,0756A0,80092500,E70,06BA30,8007C930,E70,756A0,80092500,E70,,,,,,,,,,
z_rcp.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,076510,80093370,2730,076510,80093370,2730,06C8A0,8007D7A0,18C0,76510,80093370,2730,,,,,,,,,,
z_room.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,078C40,80095AA0,1B30,078C40,80095AA0,1B30,06E160,8007F060,17F0,78C40,80095AA0,1B30,,,,,,,,,,
z_sample.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06F950,80080850,400,07A770,800975D0,430,07A770,800975D0,430,06F950,80080850,400,7A770,800975D0,430,,,,,,,,,,
code_80097A00.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06FD50,80080C50,1C0,07ABA0,80097A00,200,07ABA0,80097A00,200,06FD50,80080C50,1C0,7ABA0,80097A00,200,,,,,,,,,,
z_scene.c,,,,,,,,,,,,,,,,,,,,,06FF80,80080E60,,06FF80,80080E60,,06FF60,80080E40,,06FF60,80080E40,,06FF10,80080E10,,07ADA0,80097C00,18A0,07ADA0,80097C00,18A0,06FF10,80080E10,,7ADA0,80097C00,18A0,06FF60,80080E40,,,,,,,,
z_scene_table.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07C640,800994A0,7420,07C640,800994A0,7420,,,,7C640,800994A0,7400,,,,,,,,,,
z_skelanime.c,,,,,,,,,,,,,,,,,,,,,077C30,80088B10,,077C10,80088AF0,,077C10,80088AF0,,077BF0,80088AD0,,077BC0,80088AC0,,83A60,800A08C0,4F20,83A60,800A08C0,4F20,077BA0,80088AA0,49F0,83A40,800A08A0,4F20,077C10,80088AF0,,,,,,,,
z_skin.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88980,800A57E0,CA0,88980,800A57E0,CA0,07C590,8008D490,BA0,88960,800A57C0,CA0,,,,,,,,,,
z_skin_awb.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89620,800A6480,9B0,89620,800A6480,9B0,07D130,8008E030,910,89600,800A6460,9B0,,,,,,,,,,
z_skin_matrix.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89FD0,800A6E30,1390,89FD0,800A6E30,1390,07DA40,8008E940,13A0,89FB0,800A6E10,1390,,,,,,,,,,
z_sram.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8B360,800A81C0,1BA0,8B360,800A81C0,1BA0,07EDE0,8008FCE0,1440,8B340,800A81A0,1BA0,,,,,,,,,,
z_ssram.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80240,80091140,1D0,8CF00,800A9D60,1F0,8CF00,800A9D60,1F0,080220,80091120,1D0,8CEE0,800A9D40,1F0,,,,,,,,,,
code_800A9F30.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080410,80091310,280,8D0F0,800A9F50,260,8D0F0,800A9F50,260,0803F0,800912F0,280,8D0D0,800A9F30,260,,,,,,,,,,
z_view.c,,Last function is gone on retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8D350,800AA1B0,1EA0,8D350,800AA1B0,1EA0,080670,80091570,170C,8D330,800AA190,1EA0,,,,,,,,,,
z_vimode.c,,First function is gone on retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F1F0,800AC050,E40,8F1F0,800AC050,E40,081D7C,80092C7C,B64,8F1D0,800AC030,E40,,,,,,,,,,
code_800ACE70.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90030,800ACE90,190,90030,800ACE90,190,0828E0,800937E0,1A0,90010,800ACE70,190,,,,,,,,,,
z_vismono.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901C0,800AD020,920,901C0,800AD020,920,082A80,80093980,820,901A0,800AD000,920,,,,,,,,,,
code_800AD920.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90AE0,800AD940,290,90AE0,800AD940,290,0832A0,800941A0,290,90AC0,800AD920,290,,,,,,,,,,
z_vr_box.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90D70,800ADBD0,3480,90D70,800ADBD0,3480,083530,80094430,28D0,90D50,800ADBB0,3480,,,,,,,,,,
z_vr_box_draw.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941F0,800B1050,720,941F0,800B1050,720,085E00,80096D00,6E0,941D0,800B1030,720,,,,,,,,,,
z_player_call.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94910,800B1770,160,94910,800B1770,160,0864E0,800973E0,170,948F0,800B1750,160,,,,,,,,,,
z_fbdemo.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94A70,800B18D0,B50,94A70,800B18D0,B50,086650,80097550,A20,94A50,800B18B0,B50,,,,,,,,,,
